month,fhvhv_sample_rate,load_time,total_raw_trips,aggregated_rows,total_time
2025-01,1.0,1.5,24248901,86260,31.0
2025-02,1.0,0.9,23260857,86129,24.4
2025-03,1.0,1.0,24973046,86234,27.6
2025-04,1.0,0.9,24124248,86450,28.0
2025-05,1.0,1.1,26126329,86588,29.7
2025-06,1.0,1.0,24605958,86678,25.2
2025-07,1.0,1.0,23930457,86642,23.4
2025-08,1.0,0.9,23202189,86621,22.4
2025-09,1.0,1.0,24081570,86549,29.7
2025-10,1.0,1.1,26135942,86442,31.1
2025-11,1.0,1.0,25365741,86441,28.7
2025-12,1.0,1.1,26768631,86521,34.3
