PULocationID,unique_taxi_types,avg_trip_duration_min,borough_encoded,service_zone_encoded
1,2.0,26.308333333333334,2,2
2,1.0,20.583333333333332,4,1
3,2.0,15.453386818011957,0,1
4,3.0,18.819796215429403,3,4
5,2.0,18.05527777777778,5,1
6,2.0,17.615633371603522,5,1
7,4.0,17.17622298065984,4,1
8,1.0,16.358333333333334,4,1
9,2.0,16.434219858156027,4,1
10,3.0,17.335147974936707,4,1
11,2.0,17.063894719512696,1,1
12,2.0,21.4,3,4
13,3.0,20.438619565985903,3,4
14,3.0,18.03184551895223,1,1
15,2.0,18.157738095238095,4,1
16,2.0,16.415224920007528,4,1
17,3.0,18.803776065909517,1,1
18,3.0,16.319402097764094,0,1
19,2.0,16.725507936507938,4,1
20,2.0,16.157833333333336,0,1
21,3.0,16.904299383304725,1,1
22,3.0,16.81984647347688,1,1
23,2.0,17.507813856510538,5,1
24,3.0,18.333923303834805,3,4
25,3.0,21.271792576192105,1,1
26,3.0,16.979106303215147,1,1
27,1.0,24.93611111111111,4,1
28,3.0,16.926271325459318,4,1
29,3.0,16.455735979979522,1,1
30,1.0,18.983333333333334,4,1
31,1.0,17.043560606060606,0,1
32,3.0,16.48501546211781,0,1
33,3.0,21.42991109536004,1,1
34,2.0,18.841935483870966,1,1
35,3.0,17.630172386416564,1,1
36,3.0,19.593242570597802,1,1
37,3.0,20.001207308273777,1,1
38,2.0,18.215289431625216,4,1
39,3.0,16.53556623132578,1,1
40,2.0,19.819847328244276,1,1
41,4.0,17.64029411764706,3,1
42,4.0,16.812397820163486,3,1
43,3.0,16.579929362057335,3,4
44,2.0,18.711627906976744,5,1
45,3.0,19.483926973854736,3,4
46,1.0,23.260719696969698,0,1
47,3.0,15.597878826969385,0,1
48,3.0,19.615101648815553,3,4
49,3.0,19.919827586206896,1,1
50,3.0,19.198629700446144,3,4
51,3.0,18.02353617211306,0,1
52,2.0,20.35849344289754,1,1
53,2.0,18.95808080808081,4,1
54,2.0,19.3429512516469,1,1
55,3.0,19.877326680112485,1,1
56,3.0,16.879347826086956,4,1
57,1.0,15.841666666666665,4,1
58,1.0,16.84142156862745,0,1
59,1.0,15.674825174825175,0,1
60,3.0,15.876201923076923,0,1
61,3.0,19.445358735545113,1,1
62,3.0,20.020337456034135,1,1
63,3.0,17.919127828436338,1,1
64,2.0,17.718628173628176,4,1
65,4.0,20.597227595099934,1,1
66,3.0,20.55386259484637,1,1
67,2.0,16.72942524816246,1,1
68,3.0,20.405007858780472,3,4
69,3.0,17.193435170753947,0,1
70,3.0,18.629834809892948,4,1
71,3.0,18.31968532604141,1,1
72,3.0,17.475474840472316,1,1
73,2.0,16.707031622708378,4,1
74,4.0,16.530544908466815,3,1
75,4.0,17.719917191627715,3,1
76,3.0,17.08153826657663,1,1
77,3.0,17.97588993382097,1,1
78,3.0,16.121277777777777,0,1
79,3.0,17.908645072210216,3,4
80,3.0,18.931062053546654,1,1
81,3.0,15.513033695652172,0,1
82,4.0,16.94716024340771,4,1
83,3.0,15.922802653399668,4,1
84,2.0,18.68921568627451,5,1
85,3.0,19.705791666666666,1,1
86,3.0,20.20516684136967,4,1
87,3.0,22.567125018315018,3,4
88,3.0,22.701062091503267,3,4
89,3.0,20.171038673936597,1,1
90,3.0,18.388387715930904,3,4
91,3.0,18.200127032520324,1,1
92,4.0,18.398257839721254,4,1
93,2.0,18.238060897435897,4,1
94,2.0,16.456046365914787,0,1
95,4.0,17.248437375231923,4,1
96,1.0,18.175555555555555,4,1
97,4.0,19.998117597292723,1,1
98,2.0,17.399591503267978,4,1
99,1.0,12.483333333333334,5,1
100,3.0,20.81165933528837,3,4
101,2.0,18.631597222222226,4,1
102,3.0,17.0205542663766,4,1
